1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
1270,Kansas,KS,3,n/a,,,,,Party Votes:,R,"51,429",,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,Kansas,KS,3,H8KS03072,,JoeåÊ,Bellis,"Bellis, JoeåÊ",,LBT,n/a,G,,,"10,073",2.81%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1272,Kansas,KS,3,H6KS02235,,RogeråÊD.,Tucker,"Tucker, RogeråÊD.",,REF,n/a,G,,,"3,937",1.10%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1273,Kansas,KS,3,n/a,,,,,District Votes:,,"78,860",,,,"358,858",,,,,,,,,,,,,,,,,,,,,,,
1274,Kansas,KS,4,H4KS04087,(I),ToddåÊ,Tiahrt,"Tiahrt, ToddåÊ",,R,"39,494",100.00%,,,"177,617",63.41%,,,,,,,,,,,,,,,,,,,,,,
1275,Kansas,KS,4,n/a,,,,,Party Votes:,R,"39,494",,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Kansas,KS,4,H8KS04062,,"Donald, Jr.åÊ",Betts,"Betts, Donald, Jr.åÊ",,D,"15,448",100.00%,,,"90,706",32.38%,,,,,,,,,,,,,,,,,,,,,,
1277,Kansas,KS,4,n/a,,,,,Party Votes:,D,"15,448",,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,Kansas,KS,4,H8KS04070,,SusanåÊG.,Ducey,"Ducey, SusanåÊG.",,REF,n/a,G,,,"6,441",2.30%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1279,Kansas,KS,4,H2KS01061,,StevenåÊA.,Rosile,"Rosile, StevenåÊA.",,LBT,n/a,G,,,"5,345",1.91%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1280,Kansas,KS,4,n/a,,,,,District Votes:,,"54,942",,,,"280,109",,,,,,,,,,,,,,,,,,,,,,,
1281,Kansas,KS,H,n/a,,,,,Total House Votes:,,"314,999",,,,"1,208,302",,,,,,,,,,,,,,,,,,,,,,,
1282,Kansas,KS,S,S6KS00080,(I),PatåÊ,Roberts,"Roberts, PatåÊ",,R,"214,911",100.00%,,,"727,121",60.06%,,,,,,,,,,,,,,,,,,,,,,
1283,Kansas,KS,S,n/a,,,,,Party Votes:,R,"214,911",,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Kansas,KS,S,S8KS00235,,JimåÊ,Slattery,"Slattery, JimåÊ",,D,"68,106",68.93%,,,"441,399",36.46%,,,,,,,,,,,,,,,,,,,,,,
1285,Kansas,KS,S,S4KS00085,,LeeåÊ,Jones,"Jones, LeeåÊ",,D,"30,699",31.07%,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Kansas,KS,S,n/a,,,,,Party Votes:,D,"98,805",,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Kansas,KS,S,S8KS00243,,RandallåÊL.,Hodgkinson,"Hodgkinson, RandallåÊL.",,LBT,n/a,,,,"25,727",2.12%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1288,Kansas,KS,S,S8KS00250,,JosephåÊL.,Martin,"Martin, JosephåÊL.",,REF,n/a,,,,"16,443",1.36%,,,,,"* The Libertarian Party nominated by convention on April 26, 2008, and the Reform Party nominated by convention on May 31, 2008.  Convention nominees are noted with an asterisk.",,,,,,,,,,,,,,,,,
1289,Kansas,KS,S,n/a,,,,,Total Senate Votes:,,"313,716",,,,"1,210,690",,,,,,,,,,,,,,,,,,,,,,,
1290,Kentucky,KY,1,H4KY01040,(I),Edward,Whitfield,"Whitfield, Edward",,R,Unopposed,,,,"178,107",64.35%,,,,,,,,,,,,,,,,,,,,,,
1291,Kentucky,KY,1,H8KY01041,,Heather A.,Ryan,"Ryan, Heather A.",,D,Unopposed,,,,"98,674",35.65%,,,,,,,,,,,,,,,,,,,,,,
1292,Kentucky,KY,1,n/a,,Charles K.,Hatchett,"Hatchett, Charles K.",,W,,,,,5,0.00%,,,,,,,,,,,,,,,,,,,,,,
1293,Kentucky,KY,1,n/a,,,,,District Votes:,,,,,,"276,786",,,,,,,,,,,,,,,,,,,,,,,
1294,Kentucky,KY,2,H8KY02031,,S. Brett,Guthrie,"Guthrie, S. Brett",,R,Unopposed,G,,,"158,936",52.57%,,,,,,,,,,,,,,,,,,,,,,
1295,Kentucky,KY,2,H8KY02049,,David E.,Boswell,"Boswell, David E.",,D,"61,007",58.60%,,,"143,379",47.43%,,,,,,,,,,,,,,,,,,,,,,
1296,Kentucky,KY,2,H8KY02056,,Reid,Haire,"Haire, Reid",,D,"43,100",41.40%,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,Kentucky,KY,2,n/a,,,,,Party Votes:,D,"104,107",,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Kentucky,KY,2,n/a,,,,,District Votes:,,"104,107",,,,"302,315",,,,,,,,,,,,,,,,,,,,,,,
1299,Kentucky,KY,3,H6KY03124,(I),John ,Yarmuth,"Yarmuth, John ",,D,Unopposed,G,,,"203,843",59.37%,,,,,,,,,,,,,,,,,,,,,,
1300,Kentucky,KY,3,H6KY03090,,Anne M.,Northup,"Northup, Anne M.",,R,"32,570",76.88%,,,"139,527",40.63%,,,,,,,,,,,,,,,,,,,,,,
1301,Kentucky,KY,3,H4KY03202,,Corley C.,Everett,"Everett, Corley C.",,R,Withdrew,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Kentucky,KY,3,H8KY03153,,Chris,Thieneman,"Thieneman, Chris",,R,"9,080",21.43%,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Kentucky,KY,3,H8KY03161,,"Bob, Jr.",DeVore,"DeVore, Bob, Jr.",,R,713,1.68%,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Kentucky,KY,3,n/a,,,,,Party Votes:,R,"42,363",,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Kentucky,KY,3,n/a,,,,,District Votes:,,"42,363",,,,"343,370",,,,,,,,,,,,,,,,,,,,,,,
1306,Kentucky,KY,4,H2KY04071,(I),Geoff,Davis,"Davis, Geoff",,R,"30,189",85.17%,,,"190,210",63.03%,,,,,,,,,,,,,,,,,,,,,,
1307,Kentucky,KY,4,H8KY04102,,Warren O.,Stone,"Stone, Warren O.",,R,"2,831",7.99%,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,Kentucky,KY,4,H8KY04110,,G.E.,Puckett,"Puckett, G.E.",,R,"2,427",6.85%,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Kentucky,KY,4,n/a,,,,,Party Votes:,R,"35,447",,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Kentucky,KY,4,H8KY04094,,Michael,Kelley,"Kelley, Michael",,D,Unopposed,G,,,"111,549",36.97%,,,,,,,,,,,,,,,,,,,,,,
1311,Kentucky,KY,4,n/a,,,,,District Votes:,,"35,447",,,,"301,759",,,,,,,,,,,,,,,,,,,,,,,
1312,Kentucky,KY,5,H0KY05015,(I),"Harold Hal""""""arol""",Rogers,"Rogers, Harold Hal""""""oger""",,R,Unopposed,G,,,"177,024",84.11%,,,,,,,,,,,,,,,,,,,,,,
1313,Kentucky,KY,5,H8KY05042,,Jim,Holbert,"Holbert, Jim",,I,n/a,G,,,"33,444",15.89%,,,,,,,,,,,,,,,,,,,,,,
1314,Kentucky,KY,5,n/a,,,,,District Votes:,,,,,,"210,468",,,,,,,,,,,,,,,,,,,,,,,
1315,Kentucky,KY,6,H4KY06072,(I),Ben,Chandler,"Chandler, Ben",,D,Unopposed,G,,,"203,764",64.66%,,,,,,,,,,,,,,,,,,,,,,
1316,Kentucky,KY,6,H8KY06131,,Jon,Larson,"Larson, Jon",,R,"12,647",51.51%,,,"111,378",35.34%,,,,,,,,,,,,,,,,,,,,,,
1317,Kentucky,KY,6,H8KY06149,,Tony,McCurdy,"McCurdy, Tony",,R,"11,906",48.49%,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Kentucky,KY,6,n/a,,,,,Party Votes:,R,"24,553",,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,Kentucky,KY,6,n/a,,,,,District Votes:,,"24,553",,,,"315,142",,,,,,,,,,,,,,,,,,,,,,,
1320,Kentucky,KY,H,n/a,,,,,Total House Votes:,,"206,470",,,,"1,749,840",,,,,,,,,,,,,,,,,,,,,,,
1321,Kentucky,KY,S,S2KY00012,(I),Mitch,McConnell,"McConnell, Mitch",,R,"168,127",86.09%,,,"953,816",52.97%,,,,,,,,,,,,,,,,,,,,,,
1322,Kentucky,KY,S,S8KY00274,,Daniel,Essek,"Essek, Daniel",,R,"27,170",13.91%,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Kentucky,KY,S,n/a,,,,,Party Votes:,R,"195,297",,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,Kentucky,KY,S,S8KY00233,,Bruce,Lunsford,"Lunsford, Bruce",,D,"316,992",51.14%,,,"847,005",47.03%,,,,,,,,,,,,,,,,,,,,,,
1325,Kentucky,KY,S,S8KY00217,,Andrew,Horne,"Horne, Andrew",,D,Withdrew,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Kentucky,KY,S,S8KY00241,,Greg,Fischer,"Fischer, Greg",,D,"209,827",33.85%,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Kentucky,KY,S,S8KY00258,,David L.,Williams,"Williams, David L.",,D,"34,363",5.54%,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Kentucky,KY,S,S8KY00266,,James E.,Rice,"Rice, James E.",,D,"20,403",3.29%,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Kentucky,KY,S,S8KY00209,,Michael,Cassaro,"Cassaro, Michael",,D,"17,340",2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Kentucky,KY,S,S8KY00225,,Kenneth,Stepp,"Stepp, Kenneth",,D,"13,451",2.17%,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,Kentucky,KY,S,S8KY00191,,David Lee,Wylie,"Wylie, David Lee",,D,"7,528",1.21%,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,Kentucky,KY,S,n/a,,,,,Party Votes:,D,"619,904",,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,Kentucky,KY,S,n/a,,,,,Total Senate Votes:,,"815,201",,,,"1,800,821",,,,,,,,,,,,,,,,,,,,,,,
1334,Louisiana,LA,1,H0LA01087,(I),"Steve""""""Steve""""""""",Scalise,"Scalise, Steve""""""calise""",,R,Unopposed,,,,"189,168",65.68%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1335,Louisiana,LA,1,H8LA01114,,"Jim""""""Jim""""""""",Harlan,"Harlan, Jim""""""arla""",,D,"37,883",72.66%,,,"98,839",34.32%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1336,Louisiana,LA,1,H4LA01113,,"M.V. Vinny"""""".V. ""V""""V""",Mendoza,"Mendoza, M.V. Vinny""""""endoza""",,D,"14,254",27.34%,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1337,Louisiana,LA,1,n/a,,,,,Party Votes:,D,"52,137",,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1338,Louisiana,LA,1,n/a,,,,,District Votes:,,"52,137",,,,"288,007",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1339,Louisiana,LA,2,H8LA02112,,"Anh Joseph""""""nh ""Jos""""h """"""""",Cao,"Cao, Anh Joseph""""""ao"," Anh""",,R,Unopposed,,,,"33,132",49.54%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,
1340,Louisiana,LA,2,H0LA02119,(I),William J.,Jefferson,"Jefferson, William J.",,D,"17,506",25.30%,"92,921",56.79%,"31,318",46.83%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1341,Louisiana,LA,2,H8LA02062,,Helena,Moreno,"Moreno, Helena",,D,"13,794",19.94%,"70,705",43.21%,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1342,Louisiana,LA,2,H8LA02054,,Cedric,Richmond,"Richmond, Cedric",,D,"12,087",17.47%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1343,Louisiana,LA,2,H8LA02088,,James,Carter,"Carter, James",,D,"9,282",13.41%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1344,Louisiana,LA,2,H8LA02070,,Byron L.,Lee,"Lee, Byron L.",,D,"8,979",12.98%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1345,Louisiana,LA,2,H2LA02032,,"Troy C""""""ro""",Carter,"Carter, Troy C""""""ar""",,D,"5,796",8.38%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1346,Louisiana,LA,2,H8LA02104,,Kenya J.H.,Smith,"Smith, Kenya J.H.",,D,"1,748",2.53%,,,,,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1347,Louisiana,LA,2,n/a,,,,,Party Votes:,D,"69,192",,"163,626",,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1348,Louisiana,LA,2,H8LA02120,,Malik,Rahim,"Rahim, Malik",,GRE,Unopposed,,,,"1,883",2.82%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1349,Louisiana,LA,2,H6LA02207,,Gregory W.,Kahn,"Kahn, Gregory W.",,LBT,Unopposed,,,,549,0.82%,,,,,Democratic Runoff on 11/04/08; General Election on 12/06/08 ,,,,,,,,,,,,,,,,,
1352,Louisiana,LA,3,H4LA03028,(I),"Charlie""""""Charlie""""""""",Melancon,"Melancon, Charlie""""""elancon",",,D,Unopposed,,,,Unopposed,,,,,,*  Because of Hurricane Gustav",D,,,,,Unopposed,,,,,,,,,,,,,,,,,,,,,,,
1353,Louisiana,LA,3,n/a,,,,,District Votes:,,n/a,,,,n/a,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1354,Louisiana,LA,4,H8LA04225,,John,Fleming,"Fleming, John",,R,"14,500",35.14%,"43,012",55.56%,"44,501",48.07%,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1355,Louisiana,LA,4,H8LA04258,,"Chris""""""Chris""""""""",Gorman,"Gorman, Chris""""""orman",",,R,14","072""",34.10%,"34,405",44.44%,,,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,,
1356,Louisiana,LA,4,H8LA04266,,"Jeff""""""Jeff""""""""",Thompson,"Thompson, Jeff""""""homps""",,R,"12,693",30.76%,,,,,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1357,Louisiana,LA,4,n/a,,,,,Party Votes:,R,"41,265",,"77,417",,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1358,Louisiana,LA,4,H8LA04241,,Paul J.,Carmouche,"Carmouche, Paul J.",,D,"36,936",48.12%,"93,093",61.99%,"44,151",47.69%,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1359,Louisiana,LA,4,H8LA04233,,Willie,Banks,"Banks, Willie",,D,"17,621",22.96%,"57,078",38.01%,,,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1360,Louisiana,LA,4,H2LA04103,,John,Milkovich,"Milkovich, John",,D,"16,137",21.02%,,,,,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1361,Louisiana,LA,4,H6LA04054,,"Artis Doc""""""rtis""",Cash,"Cash, Artis Doc""""""ash",",,D,6","065""",7.90%,,,,,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,,
1362,Louisiana,LA,4,n/a,,,,,Party Votes:,D,"76,759",,"150,171",,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1363,Louisiana,LA,4,H6LA04088,,"Chester T. Catfish""""""hester T""",Kelley,"Kelley, Chester T. Catfish""""""elley"," C""",,NPA,n/a,,,,"3,245",3.51%,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,
1364,Louisiana,LA,4,H8LA04274,,Gerard J.,Bowen,"Bowen, Gerard J.",,OTH,n/a,,,,675,0.73%,,,,,Democratic and Republican Runoffs on 11/04/08; General Election on 12/06/08,,,,,,,,,,,,,,,,,
1365,Louisiana,LA,4,n/a,,,,,District Votes:,,"118,024",,"227,588",,"92,572",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1366,Louisiana,LA,5,H2LA05084,(I),Rodney,Alexander,"Alexander, Rodney",,R,"27,819",89.68%,,,Unopposed,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1367,Louisiana,LA,5,H8LA05081,,Andrew,Clack,"Clack, Andrew",,R,"3,203",10.32%,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1368,Louisiana,LA,5,n/a,,,,,Party Votes:,R,"31,022",,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1369,Louisiana,LA,5,n/a,,,,,District Votes:,,"31,022",,,,,,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1370,Louisiana,LA,6,H8LA00017,,"William Bill""""""illia""",Cassidy,"Cassidy, William Bill""""""assid""",,R,Unopposed,,,,"150,332",48.12%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1371,Louisiana,LA,6,H8LA06022,,"Don""""""Don""""""""",Cazayoux,"Cazayoux, Don""""""azay""",,D,Unopposed,,,,"125,886",40.29%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1372,Louisiana,LA,6,H8LA06030,,Michael,Jackson,"Jackson, Michael",,NPA,n/a,,,,"36,198",11.59%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1373,Louisiana,LA,6,n/a,,,,,District Votes:,,,,,,"312,416",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1374,Louisiana,LA,7,H4LA07029,(I),"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",,R,Unopposed,,,,"177,173",61.88%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1375,Louisiana,LA,7,H8LA07046,,Donald Don," Jr.""onald Do""""na""",Cravins,"Cravins, Donald Don"," Jr.""ravins, D",,D,Unopposed,,,,"98,280",34.33%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,
1376,Louisiana,LA,7,H8LA07038,,Peter,Vidrine,"Vidrine, Peter",,OTH,n/a,,,,"10,846",3.79%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1377,Louisiana,LA,7,n/a,,,,,District Votes:,,,,,,"286,299",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1378,Louisiana,LA,H,n/a,,,,,Total House Votes:,,"270,375",,"391,214",,"1,046,176",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1379,Louisiana,LA,S,S6LA00227,(I),Mary,Landrieu,"Landrieu, Mary",,D,Unopposed,,,,"988,298",52.11%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1380,Louisiana,LA,S,S4LA00065,,John,Kennedy,"Kennedy, John",,R,Unopposed,,,,"867,177",45.72%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1381,Louisiana,LA,S,S4LA00081,,Richard,Fontanesi,"Fontanesi, Richard",,LBT,Unopposed,,,,"18,590",0.98%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1382,Louisiana,LA,S,S8LA00090,,"Jay""""""Jay""""""""",Patel,"Patel, Jay""""""atel""",,NPA,n/a,,,,"13,729",0.72%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1383,Louisiana,LA,S,S8LA00082,,Robert,Stewart,"Stewart, Robert",,OTH,n/a,,,,"8,780",0.46%,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1384,Louisiana,LA,S,n/a,,,,,Total Senate Votes:,,n/a,,,,"1,896,574",,,,,,"*  Because of Hurricane Gustav, the primary elections originally scheduled for September 6, 2008, were moved to October 4, 2008, with primary runoff elections held on November 4, 2008 (if necessary).  December 6, 2008, was the general election date for those districts that had a November 4, 2008, primary runoff election.  ",,,,,,,,,,,,,,,,,
1385,Maine,ME,1,H8ME01120,,Chellie,Pingree,"Pingree, Chellie",,D,"24,324",43.92%,,,"205,629",54.90%,,,,,,,,,,,,,,,,,,,,,,
1386,Maine,ME,1,H8ME01146,,Adam Roland,Cote,"Cote, Adam Roland",,D,"15,706",28.36%,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Maine,ME,1,H8ME01138,,Michael F.,Brennan,"Brennan, Michael F.",,D,"6,040",10.91%,,,,,,,,,,,,,,,,,,,,,,,,,,
