1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
2,,,,n/a,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,,
4,AL,Alabama,1,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,"71,310",60.11%,,,"208,083",96.38%,,,,,W,,
5,AL,Alabama,1,H6AL01060,,Dean,Young,"Young, Dean",,R,"47,319",39.89%,,,,,,,,,,,
6,AL,Alabama,1,n/a,,,,,Party Votes:,R,"118,629",,,,,,,,,,,,
7,AL,Alabama,1,n/a,,,Scattered,Scattered,,W,,,,,"7,810",3.62%,,,,,,,
8,AL,Alabama,1,n/a,,,,,District Votes:,,"118,629",,,,"215,893",,,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,,
10,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,"78,689",66.37%,,,"134,886",48.77%,,,,,W,,
11,AL,Alabama,2,H6AL02142,,Becky,Gerritson,"Gerritson, Becky",,R,"33,015",27.85%,,,,,,,,,,,
12,AL,Alabama,2,H6AL02159,,"Robert L. Bob""""""ober""",Rogers,"Rogers, Robert L. Bob""""""oger""",,R,"6,856",5.78%,,,,,,,,,,,
13,AL,Alabama,2,n/a,,,,,Party Votes:,R,"118,560",,,,,,,,,,,,
14,AL,Alabama,2,H6AL02167,,Nathan ,Mathis,"Mathis, Nathan ",,D,Unopposed,,,,"112,089",40.53%,,,,,,,
15,AL,Alabama,2,n/a,,,Scattered,Scattered,,W,,,,,"29,609",10.71%,,,,,,,
16,AL,Alabama,2,n/a,,,,,District Votes:,,"118,560",,,,"276,584",,,,,,,,
17,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,,
18,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,"77,432",75.98%,,,"192,164",66.93%,,,,,W,,
19,AL,Alabama,3,H6AL03157,,Larry,DiChiara,"DiChiara, Larry",,R,"24,474",24.02%,,,,,,,,,,,
20,AL,Alabama,3,n/a,,,,,Party Votes:,R,"101,906",,,,,,,,,,,,
21,AL,Alabama,3,H4AL03061,,Jesse,Smith,"Smith, Jesse",,D,Unopposed,,,,"94,549",32.93%,,,,,,,
22,AL,Alabama,3,n/a,,,Scattered,Scattered,,W,,,,,391,0.14%,,,,,,,
23,AL,Alabama,3,n/a,,,,,District Votes:,,"101,906",,,,"287,104",,,,,,,,
24,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,,
25,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,"86,660",81.18%,,,"235,925",98.53%,,,,,W,,
